SOLUTION TO PART 1: 2,0,7,3,0,3,1,3,7
2024-12-18 00:48:43.061517465 +0100 CET m=+2.000145147                 >> a:   4400925371333, da:        20990508, dt: 2000 ms, da/dt: 10495 per ms
2024-12-18 00:50:55.061517076 +0100 CET m=+134.000144760               >> a:   4402144195727, da:        18836839, dt: 2000 ms, da/dt: 9418 per ms
2024-12-18 00:50:57.061517431 +0100 CET m=+136.000145117               >> a:   4402162692999, da:        18497272, dt: 2000 ms, da/dt: 9248 per ms
2024-12-18 00:50:59.061517364 +0100 CET m=+138.000145046               >> a:   4402181213978, da:        18520979, dt: 1999 ms, da/dt: 9265 per ms
2024-12-18 00:51:01.061517558 +0100 CET m=+140.000145242               >> a:   4402200043075, da:        18829097, dt: 2000 ms, da/dt: 9414 per ms
2024-12-18 00:51:03.061517081 +0100 CET m=+142.000144764               >> a:   4402218622802, da:        18579727, dt: 1999 ms, da/dt: 9294 per ms
2024-12-18 00:51:05.061517323 +0100 CET m=+144.000145006               >> a:   4402237383968, da:        18761166, dt: 2000 ms, da/dt: 9380 per ms
2024-12-18 00:51:07.06151763 +0100 CET m=+146.000145313                >> a:   4402256065348, da:        18681380, dt: 2000 ms, da/dt: 9340 per ms
2024-12-18 00:51:09.061517297 +0100 CET m=+148.000144980               >> a:   4402274878398, da:        18813050, dt: 1999 ms, da/dt: 9411 per ms
2024-12-18 00:51:11.06151731 +0100 CET m=+150.000144993                >> a:   4402293735768, da:        18857370, dt: 2000 ms, da/dt: 9428 per ms
2024-12-18 00:51:13.061517584 +0100 CET m=+152.000145267               >> a:   4402312367463, da:        18631695, dt: 2000 ms, da/dt: 9315 per ms
2024-12-18 00:51:15.06151688 +0100 CET m=+154.000144563                >> a:   4402331169056, da:        18801593, dt: 1999 ms, da/dt: 9405 per ms
2024-12-18 00:51:17.061517289 +0100 CET m=+156.000144973               >> a:   4402349811391, da:        18642335, dt: 2000 ms, da/dt: 9321 per ms
2024-12-18 00:51:19.061516842 +0100 CET m=+158.000144526               >> a:   4402368095325, da:        18283934, dt: 1999 ms, da/dt: 9146 per ms
2024-12-18 00:51:21.061516908 +0100 CET m=+160.000144591               >> a:   4402386984108, da:        18888783, dt: 2000 ms, da/dt: 9444 per ms
2024-12-18 00:51:23.061516898 +0100 CET m=+162.000144581               >> a:   4402405635982, da:        18651874, dt: 1999 ms, da/dt: 9330 per ms
2024-12-18 00:51:25.061516915 +0100 CET m=+164.000144598               >> a:   4402424495953, da:        18859971, dt: 2000 ms, da/dt: 9429 per ms
2024-12-18 00:51:27.061517335 +0100 CET m=+166.000145019               >> a:   4402443279883, da:        18783930, dt: 2000 ms, da/dt: 9391 per ms
2024-12-18 00:51:29.061517257 +0100 CET m=+168.000144940               >> a:   4402461937414, da:        18657531, dt: 1999 ms, da/dt: 9333 per ms
2024-12-18 00:51:31.061517187 +0100 CET m=+170.000144871               >> a:   4402480602403, da:        18664989, dt: 1999 ms, da/dt: 9337 per ms
2024-12-18 00:51:33.061517489 +0100 CET m=+172.000145175               >> a:   4402499040172, da:        18437769, dt: 2000 ms, da/dt: 9218 per ms
2024-12-18 00:51:35.061517148 +0100 CET m=+174.000144830               >> a:   4402517898409, da:        18858237, dt: 1999 ms, da/dt: 9433 per ms
2024-12-18 00:51:37.061516962 +0100 CET m=+176.000144647               >> a:   4402536698504, da:        18800095, dt: 1999 ms, da/dt: 9404 per ms
2024-12-18 00:51:39.061517488 +0100 CET m=+178.000145171               >> a:   4402555380405, da:        18681901, dt: 2000 ms, da/dt: 9340 per ms
2024-12-18 00:51:41.061517372 +0100 CET m=+180.000145056               >> a:   4402574201424, da:        18821019, dt: 1999 ms, da/dt: 9415 per ms
2024-12-18 00:51:43.061517386 +0100 CET m=+182.000145069               >> a:   4402592794235, da:        18592811, dt: 2000 ms, da/dt: 9296 per ms
2024-12-18 00:51:45.061517442 +0100 CET m=+184.000145126               >> a:   4402611617420, da:        18823185, dt: 2000 ms, da/dt: 9411 per ms
2024-12-18 00:51:47.061517578 +0100 CET m=+186.000145262               >> a:   4402630435710, da:        18818290, dt: 2000 ms, da/dt: 9409 per ms
2024-12-18 00:51:49.061517202 +0100 CET m=+188.000144885               >> a:   4402649067075, da:        18631365, dt: 1999 ms, da/dt: 9320 per ms
2024-12-18 00:51:51.061517121 +0100 CET m=+190.000144805               >> a:   4402667895976, da:        18828901, dt: 1999 ms, da/dt: 9419 per ms
2024-12-18 00:51:53.061517103 +0100 CET m=+192.000144789               >> a:   4402686498788, da:        18602812, dt: 1999 ms, da/dt: 9306 per ms
2024-12-18 00:51:55.061517351 +0100 CET m=+194.000145034               >> a:   4402705350716, da:        18851928, dt: 2000 ms, da/dt: 9425 per ms
2024-12-18 00:51:57.061516881 +0100 CET m=+196.000144565               >> a:   4402724195058, da:        18844342, dt: 1999 ms, da/dt: 9426 per ms
2024-12-18 00:51:59.061517254 +0100 CET m=+198.000144937               >> a:   4402742663261, da:        18468203, dt: 2000 ms, da/dt: 9234 per ms
2024-12-18 00:52:01.061517174 +0100 CET m=+200.000144857               >> a:   4402761406948, da:        18743687, dt: 1999 ms, da/dt: 9376 per ms
2024-12-18 00:52:03.061517326 +0100 CET m=+202.000145010               >> a:   4402779896891, da:        18489943, dt: 2000 ms, da/dt: 9244 per ms
2024-12-18 00:52:05.061516873 +0100 CET m=+204.000144557               >> a:   4402798283454, da:        18386563, dt: 1999 ms, da/dt: 9197 per ms
2024-12-18 00:52:07.061516809 +0100 CET m=+206.000144492               >> a:   4402816814066, da:        18530612, dt: 1999 ms, da/dt: 9269 per ms
2024-12-18 00:52:09.061517462 +0100 CET m=+208.000145148               >> a:   4402834888767, da:        18074701, dt: 2000 ms, da/dt: 9037 per ms
2024-12-18 00:52:11.061516569 +0100 CET m=+210.000144253               >> a:   4402853421908, da:        18533141, dt: 1999 ms, da/dt: 9271 per ms
2024-12-18 00:52:13.061517883 +0100 CET m=+212.000145568               >> a:   4402871776107, da:        18354199, dt: 2000 ms, da/dt: 9177 per ms
2024-12-18 00:52:15.061517323 +0100 CET m=+214.000145006               >> a:   4402890191975, da:        18415868, dt: 1999 ms, da/dt: 9212 per ms
2024-12-18 00:52:17.06151717 +0100 CET m=+216.000144853                >> a:   4402908753278, da:        18561303, dt: 1999 ms, da/dt: 9285 per ms
2024-12-18 00:52:19.061517128 +0100 CET m=+218.000144813               >> a:   4402926351728, da:        17598450, dt: 1999 ms, da/dt: 8803 per ms
2024-12-18 00:52:21.061517001 +0100 CET m=+220.000144684               >> a:   4402944677335, da:        18325607, dt: 1999 ms, da/dt: 9167 per ms
2024-12-18 00:52:23.061517207 +0100 CET m=+222.000144890               >> a:   4402962908511, da:        18231176, dt: 2000 ms, da/dt: 9115 per ms
2024-12-18 00:52:25.061517045 +0100 CET m=+224.000144729               >> a:   4402981270544, da:        18362033, dt: 1999 ms, da/dt: 9185 per ms
2024-12-18 00:52:27.06151752 +0100 CET m=+226.000145204                >> a:   4402999707474, da:        18436930, dt: 2000 ms, da/dt: 9218 per ms
2024-12-18 00:52:29.061517309 +0100 CET m=+228.000144995               >> a:   4403017855030, da:        18147556, dt: 1999 ms, da/dt: 9078 per ms
2024-12-18 00:52:31.061517291 +0100 CET m=+230.000144976               >> a:   4403036241421, da:        18386391, dt: 1999 ms, da/dt: 9197 per ms
2024-12-18 00:52:33.061517405 +0100 CET m=+232.000145089               >> a:   4403054115620, da:        17874199, dt: 2000 ms, da/dt: 8937 per ms
2024-12-18 00:52:35.061517107 +0100 CET m=+234.000144790               >> a:   4403072543780, da:        18428160, dt: 1999 ms, da/dt: 9218 per ms
2024-12-18 00:52:37.061517068 +0100 CET m=+236.000144753               >> a:   4403091060616, da:        18516836, dt: 1999 ms, da/dt: 9263 per ms
2024-12-18 00:52:39.061516976 +0100 CET m=+238.000144659               >> a:   4403109439423, da:        18378807, dt: 1999 ms, da/dt: 9194 per ms
2024-12-18 00:52:41.061517267 +0100 CET m=+240.000144951               >> a:   4403128116033, da:        18676610, dt: 2000 ms, da/dt: 9338 per ms
2024-12-18 00:52:43.061517266 +0100 CET m=+242.000144952               >> a:   4403146757683, da:        18641650, dt: 2000 ms, da/dt: 9320 per ms
2024-12-18 00:52:45.061516925 +0100 CET m=+244.000144608               >> a:   4403165278622, da:        18520939, dt: 1999 ms, da/dt: 9265 per ms
2024-12-18 00:52:47.061517229 +0100 CET m=+246.000144912               >> a:   4403183820545, da:        18541923, dt: 2000 ms, da/dt: 9270 per ms
2024-12-18 00:52:49.061517148 +0100 CET m=+248.000144831               >> a:   4403201686431, da:        17865886, dt: 1999 ms, da/dt: 8937 per ms
2024-12-18 00:52:51.061517077 +0100 CET m=+250.000144758               >> a:   4403220434607, da:        18748176, dt: 1999 ms, da/dt: 9378 per ms
2024-12-18 00:52:53.061517443 +0100 CET m=+252.000145126               >> a:   4403238955201, da:        18520594, dt: 2000 ms, da/dt: 9260 per ms
2024-12-18 00:52:55.061517421 +0100 CET m=+254.000145104               >> a:   4403257482618, da:        18527417, dt: 1999 ms, da/dt: 9268 per ms
2024-12-18 00:52:57.061517616 +0100 CET m=+256.000145299               >> a:   4403276292610, da:        18809992, dt: 2000 ms, da/dt: 9404 per ms
2024-12-18 00:52:59.061517126 +0100 CET m=+258.000144810               >> a:   4403294813445, da:        18520835, dt: 1999 ms, da/dt: 9265 per ms
2024-12-18 00:53:01.06151731 +0100 CET m=+260.000144994                >> a:   4403313629735, da:        18816290, dt: 2000 ms, da/dt: 9408 per ms
2024-12-18 00:53:03.061517288 +0100 CET m=+262.000144971               >> a:   4403332425163, da:        18795428, dt: 1999 ms, da/dt: 9402 per ms
2024-12-18 00:53:05.061517464 +0100 CET m=+264.000145149               >> a:   4403350999669, da:        18574506, dt: 2000 ms, da/dt: 9287 per ms
2024-12-18 00:53:07.061517576 +0100 CET m=+266.000145259               >> a:   4403369786532, da:        18786863, dt: 2000 ms, da/dt: 9393 per ms
2024-12-18 00:53:09.06151745 +0100 CET m=+268.000145133                >> a:   4403388375980, da:        18589448, dt: 1999 ms, da/dt: 9299 per ms
2024-12-18 00:53:11.061516808 +0100 CET m=+270.000144491               >> a:   4403407106422, da:        18730442, dt: 1999 ms, da/dt: 9369 per ms
2024-12-18 00:53:13.061517118 +0100 CET m=+272.000144802               >> a:   4403425936865, da:        18830443, dt: 2000 ms, da/dt: 9415 per ms
2024-12-18 00:53:15.061517106 +0100 CET m=+274.000144789               >> a:   4403444482105, da:        18545240, dt: 1999 ms, da/dt: 9277 per ms
2024-12-18 00:53:17.06151698 +0100 CET m=+276.000144663                >> a:   4403463318244, da:        18836139, dt: 1999 ms, da/dt: 9422 per ms
2024-12-18 00:53:19.061517518 +0100 CET m=+278.000145201               >> a:   4403481602780, da:        18284536, dt: 2000 ms, da/dt: 9142 per ms
2024-12-18 00:53:21.061517519 +0100 CET m=+280.000145202               >> a:   4403500258395, da:        18655615, dt: 2000 ms, da/dt: 9327 per ms
2024-12-18 00:53:23.061517284 +0100 CET m=+282.000144967               >> a:   4403519081477, da:        18823082, dt: 1999 ms, da/dt: 9416 per ms
2024-12-18 00:53:25.061517066 +0100 CET m=+284.000144750               >> a:   4403537671022, da:        18589545, dt: 1999 ms, da/dt: 9299 per ms
2024-12-18 00:53:27.061517301 +0100 CET m=+286.000144985               >> a:   4403556530596, da:        18859574, dt: 2000 ms, da/dt: 9429 per ms
2024-12-18 00:53:29.061517048 +0100 CET m=+288.000144731               >> a:   4403575222687, da:        18692091, dt: 1999 ms, da/dt: 9350 per ms
2024-12-18 00:53:31.061517372 +0100 CET m=+290.000145055               >> a:   4403594013290, da:        18790603, dt: 2000 ms, da/dt: 9395 per ms
2024-12-18 00:53:33.061517232 +0100 CET m=+292.000144915               >> a:   4403612820011, da:        18806721, dt: 1999 ms, da/dt: 9408 per ms
2024-12-18 00:53:35.061517351 +0100 CET m=+294.000145034               >> a:   4403631462995, da:        18642984, dt: 2000 ms, da/dt: 9321 per ms
2024-12-18 00:53:37.06151712 +0100 CET m=+296.000144802                >> a:   4403650296681, da:        18833686, dt: 1999 ms, da/dt: 9421 per ms
2024-12-18 00:53:39.061517229 +0100 CET m=+298.000144912               >> a:   4403669053788, da:        18757107, dt: 2000 ms, da/dt: 9378 per ms
2024-12-18 00:53:41.061516836 +0100 CET m=+300.000144519               >> a:   4403687743165, da:        18689377, dt: 1999 ms, da/dt: 9349 per ms
2024-12-18 00:53:43.061517002 +0100 CET m=+302.000144685               >> a:   4403706484413, da:        18741248, dt: 2000 ms, da/dt: 9370 per ms
2024-12-18 00:53:45.061517525 +0100 CET m=+304.000145207               >> a:   4403725126339, da:        18641926, dt: 2000 ms, da/dt: 9320 per ms
2024-12-18 00:53:47.061517377 +0100 CET m=+306.000145060               >> a:   4403743958535, da:        18832196, dt: 1999 ms, da/dt: 9420 per ms
2024-12-18 00:53:49.061516872 +0100 CET m=+308.000144555               >> a:   4403762703956, da:        18745421, dt: 1999 ms, da/dt: 9377 per ms
2024-12-18 00:53:51.061519266 +0100 CET m=+310.000146950               >> a:   4403781340583, da:        18636627, dt: 2000 ms, da/dt: 9318 per ms
2024-12-18 00:53:53.061517274 +0100 CET m=+312.000144958               >> a:   4403800193120, da:        18852537, dt: 1999 ms, da/dt: 9430 per ms
2024-12-18 00:53:55.061516944 +0100 CET m=+314.000144627               >> a:   4403818757149, da:        18564029, dt: 1999 ms, da/dt: 9286 per ms
2024-12-18 00:53:57.061516875 +0100 CET m=+316.000144558               >> a:   4403837557013, da:        18799864, dt: 1999 ms, da/dt: 9404 per ms
2024-12-18 00:53:59.061517345 +0100 CET m=+318.000145028               >> a:   4403856346070, da:        18789057, dt: 2000 ms, da/dt: 9394 per ms
2024-12-18 00:54:01.061516872 +0100 CET m=+320.000144555               >> a:   4403874845449, da:        18499379, dt: 1999 ms, da/dt: 9254 per ms
2024-12-18 00:54:03.061516931 +0100 CET m=+322.000144614               >> a:   4403893633180, da:        18787731, dt: 2000 ms, da/dt: 9393 per ms
2024-12-18 00:54:05.061516902 +0100 CET m=+324.000144585               >> a:   4403912189485, da:        18556305, dt: 1999 ms, da/dt: 9282 per ms
2024-12-18 00:54:07.061517055 +0100 CET m=+326.000144740               >> a:   4403930879676, da:        18690191, dt: 2000 ms, da/dt: 9345 per ms
2024-12-18 00:54:09.061516926 +0100 CET m=+328.000144609               >> a:   4403949619205, da:        18739529, dt: 1999 ms, da/dt: 9374 per ms
2024-12-18 00:54:11.061517251 +0100 CET m=+330.000144934               >> a:   4403968075219, da:        18456014, dt: 2000 ms, da/dt: 9228 per ms
2024-12-18 00:54:13.061517385 +0100 CET m=+332.000145068               >> a:   4403986751537, da:        18676318, dt: 2000 ms, da/dt: 9338 per ms
2024-12-18 00:54:15.061517128 +0100 CET m=+334.000144811               >> a:   4404005049907, da:        18298370, dt: 1999 ms, da/dt: 9153 per ms
2024-12-18 00:54:17.061517579 +0100 CET m=+336.000145266               >> a:   4404023217076, da:        18167169, dt: 2000 ms, da/dt: 9083 per ms
2024-12-18 00:54:19.061517044 +0100 CET m=+338.000144730               >> a:   4404040977947, da:        17760871, dt: 1999 ms, da/dt: 8884 per ms
2024-12-18 00:54:21.061517002 +0100 CET m=+340.000144685               >> a:   4404058846793, da:        17868846, dt: 1999 ms, da/dt: 8938 per ms
2024-12-18 00:54:23.061517365 +0100 CET m=+342.000145049               >> a:   4404077343676, da:        18496883, dt: 2000 ms, da/dt: 9248 per ms
2024-12-18 00:54:25.061517411 +0100 CET m=+344.000145099               >> a:   4404095546324, da:        18202648, dt: 2000 ms, da/dt: 9101 per ms
2024-12-18 00:54:27.0615168 +0100 CET m=+346.000144482                 >> a:   4404114031450, da:        18485126, dt: 1999 ms, da/dt: 9247 per ms
2024-12-18 00:54:29.061516967 +0100 CET m=+348.000144650               >> a:   4404132566354, da:        18534904, dt: 2000 ms, da/dt: 9267 per ms
2024-12-18 00:54:31.061517077 +0100 CET m=+350.000144762               >> a:   4404150824219, da:        18257865, dt: 2000 ms, da/dt: 9128 per ms
2024-12-18 00:54:33.061517403 +0100 CET m=+352.000145086               >> a:   4404169329057, da:        18504838, dt: 2000 ms, da/dt: 9252 per ms
2024-12-18 00:54:35.061517427 +0100 CET m=+354.000145110               >> a:   4404187755412, da:        18426355, dt: 2000 ms, da/dt: 9213 per ms
2024-12-18 00:54:37.061516858 +0100 CET m=+356.000144542               >> a:   4404206310451, da:        18555039, dt: 1999 ms, da/dt: 9282 per ms
2024-12-18 00:54:39.061517318 +0100 CET m=+358.000145001               >> a:   4404224998006, da:        18687555, dt: 2000 ms, da/dt: 9343 per ms
2024-12-18 00:54:41.061517112 +0100 CET m=+360.000144795               >> a:   4404243444720, da:        18446714, dt: 1999 ms, da/dt: 9227 per ms
2024-12-18 00:54:43.061517253 +0100 CET m=+362.000144938               >> a:   4404262176295, da:        18731575, dt: 2000 ms, da/dt: 9365 per ms
2024-12-18 00:54:45.061517018 +0100 CET m=+364.000144701               >> a:   4404280835895, da:        18659600, dt: 1999 ms, da/dt: 9334 per ms
2024-12-18 00:54:47.06151715 +0100 CET m=+366.000144832                >> a:   4404299444024, da:        18608129, dt: 2000 ms, da/dt: 9304 per ms
2024-12-18 00:54:49.061517281 +0100 CET m=+368.000144966               >> a:   4404318067159, da:        18623135, dt: 2000 ms, da/dt: 9311 per ms
2024-12-18 00:54:51.061517349 +0100 CET m=+370.000145032               >> a:   4404336559786, da:        18492627, dt: 2000 ms, da/dt: 9246 per ms
2024-12-18 00:54:53.061517085 +0100 CET m=+372.000144770               >> a:   4404355453701, da:        18893915, dt: 1999 ms, da/dt: 9451 per ms
2024-12-18 00:54:55.061517082 +0100 CET m=+374.000144764               >> a:   4404374259139, da:        18805438, dt: 1999 ms, da/dt: 9407 per ms
2024-12-18 00:54:57.061517161 +0100 CET m=+376.000144845               >> a:   4404392740906, da:        18481767, dt: 2000 ms, da/dt: 9240 per ms
2024-12-18 00:54:59.061516989 +0100 CET m=+378.000144672               >> a:   4404411549708, da:        18808802, dt: 1999 ms, da/dt: 9409 per ms
